epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9445,1.75636,2.90415,1.36683,0.59049,0.71264,0.6807,0.30079,1.66313,2.14264,1.31498,0.000662813,0.000662813,0.000662813
2,45.3598,1.6227,2.14132,1.27685,0.45926,0.64433,0.44381,0.20114,1.6626,2.24963,1.34917,0.00119786,0.00119786,0.00119786
3,67.115,1.73709,2.11286,1.43463,0.79277,0.57167,0.6757,0.3174,1.64118,2.04204,1.3679,0.00160091,0.00160091,0.00160091
4,88.2604,1.64552,1.88558,1.38012,0.72414,0.72414,0.71844,0.37534,1.62101,1.70209,1.37815,0.001406,0.001406,0.001406
5,109.593,1.562,1.66748,1.34213,0.86837,0.75828,0.83063,0.41504,1.62743,1.53777,1.38461,0.001208,0.001208,0.001208
6,130.803,1.54648,1.54317,1.28271,0.8387,0.77011,0.82399,0.43123,1.50542,1.70532,1.2986,0.00101,0.00101,0.00101
7,152.363,1.5048,1.45258,1.27139,0.86285,0.73563,0.84257,0.43934,1.50631,1.35975,1.30837,0.000812,0.000812,0.000812
8,173.981,1.42326,1.29032,1.25344,0.78198,0.7931,0.7768,0.41604,1.55447,1.33585,1.30501,0.000614,0.000614,0.000614
9,195.337,1.42679,1.21402,1.27248,0.89413,0.81609,0.89762,0.46751,1.56476,1.26695,1.29328,0.000416,0.000416,0.000416
10,216.564,1.40573,1.23142,1.23589,0.94156,0.83908,0.90991,0.46885,1.54142,1.20767,1.28953,0.000218,0.000218,0.000218
